Clean_Symbol,GSM2048265,GSM2048266,GSM2048267,GSM2048268,GSM2048269,GSM2048270,GSM2048271,GSM2048272,GSM2048273,GSM2048274,GSM2048275,GSM2048276,GSM2048277,GSM2048278,GSM2048279,GSM2048280,GSM2048281,GSM2048282,GSM2048283,GSM2048284,GSM2048285,GSM2048286,GSM2048287
ABCA11P,6.390598905552461,7.1888360730305285,6.309248960816616,6.419538891513785,5.708739041359579,6.272396509037485,5.754887502163468,5.181897643108388,5.92837032301897,5.9092930858238235,4.954196310386875,5.590961241342599,4.035623909730721,4.53605290024021,5.602884408718419,5.7114949066500875,5.008988783227255,5.332707933640605,5.053111336459563,5.422905742612183,6.20945336562895,6.53605290024021,6.161887682376894
ABCA12,1.5360529002402097,1.9634741239748859,3.137503523749935,3.548436624696042,1.2630344058337937,3.5360529002402097,1.3785116232537298,4.270528942380718,3.4195388915137843,0.37851162325372983,2.655351828612554,4.087462841250339,0.37851162325372983,0.8479969065549501,2.700439718141092,4.224966365000275,0.2630344058337938,2.7441610955704103,2.232660756790275,0.6780719051126377,1.4854268271702418,2.070389327891398,0.5849625007211562
ABCA2,3.6958651452680242,3.781937386726812,2.901992633894174,4.392317422778761,3.7611282450141186,4.287655537988279,3.9058610129839395,3.4982851948303995,4.323302999642809,2.98800963333402,2.906859817129391,3.880880068966011,3.1936550453257766,3.1193672358136157,3.055357558648902,3.5233510054170156,2.9860643614363833,2.346203922254816,2.9910162297528764,3.613380726539597,3.368291300255349,3.9361933762965577,3.2148591190061264
ABCA3,4.916476644437717,4.958842675243241,5.048759311919856,4.364572432295856,4.405992359675837,4.104336659814735,4.776103988073165,3.6322682154995127,5.652486494918165,5.442943495848728,4.968090752045256,3.4059923596758366,5.364572432295856,5.292781749227846,3.548436624696042,3.4854268271702415,5.526694845541976,5.652486494918165,5.0574502721839,2.9818526532897405,5.459431618637297,3.4724877714627436,4.749534267669262
ABCA4,1.925999418556223,1.584962500721156,3.0874628412503395,4.608809242675524,4.177917792195843,4.491853096329675,4.307428525192248,4.930737337562887,1.9634741239748859,1.925999418556223,1.632268215499513,2.070389327891398,3.1538053360790355,3.277984747299765,3.3362833878644325,2.035623909730721,3.137503523749935,2.035623909730721,2.9818526532897405,1.1375035237499351,2.786596361890807,1.3785116232537298,3.0531113364595623
ABCA5,9.169173402029173,9.245790362963392,8.98896865391035,8.457791260256041,8.533719071139904,6.968090752045256,7.476543706214256,6.87528859822269,8.337621901992508,7.6546360285279675,8.313336561652152,6.320123598040615,6.4886435398537845,6.837943241891027,7.05528243550119,7.504620392403552,7.4561490346479955,6.731997786643742,7.140574177709902,5.889960199658641,7.854245054220128,8.413204789252584,8.098032082960527
ABCA6,6.362820525534263,4.700439718141092,6.9818526532897405,6.920055054806967,6.9140860970127225,5.94251450533924,5.19377174339668,6.266786540694901,6.87528859822269,6.246027980528104,6.223036337901875,6.610286657081023,4.727920454563199,4.672425341971495,6.593951283948411,5.343407822297814,5.4329594072761065,5.161887682376894,5.703211467391146,1.5360529002402097,7.227856573060497,5.79960542245267,5.84799690655495
ABCA7,3.3074285251922473,5.749534267669262,5.266786540694901,6.155830171556525,5.078951341394822,6.760220946466509,5.392317422778761,5.722466024471091,5.141596278383818,5.017921907997263,5.617651119427331,6.147713722352154,5.381975478557301,3.017921907997262,5.321928094887363,5.608809242675524,5.4886435398537845,5.416164164733128,6.5576551547254205,4.255500733148386,4.738767836800192,6.368069876532083,6.118941072723508
ABCA8,10.763627351727628,10.6511414082301,10.76171743197705,11.434993024910915,11.525863335095499,9.986126464179273,10.588152437078993,9.552284839943512,10.820099165128688,10.083745237394504,6.94251450533924,6.872828759534886,4.38543103719352,9.348506865015077,8.524345816462544,8.825276830054866,4.426264754702098,8.855179946816332,7.594697827323873,3.548436624696042,7.992655149386832,11.031770114160672,9.087197615577951
ABCB1,5.587250649008643,5.118867892615967,5.8226490819743155,5.579636095639488,4.5805155399046225,4.073373426901499,4.082553992572269,4.780624876432354,5.622716931609586,4.9867769394040025,4.910057562469544,4.316315876056235,4.071513001944987,4.238636282522609,3.2667816741072557,4.664202829479283,5.050574205589497,4.452121613601832,5.144848081697608,3.9955057844965856,5.519569196953479,6.183988542600882,5.547962209999268
